run_id,frame,time_ps,combined_frame_index,n_salt_bridge_atom_pairs,n_salt_bridge_residue_pairs
RUN5,900,43.999389,480,4,3
RUN5,910,44.4882711,481,3,3
RUN5,920,44.977153200000004,482,4,2
RUN5,930,45.4660353,483,5,4
RUN5,940,45.9549174,484,4,4
RUN5,950,46.443799500000004,485,4,4
RUN5,960,46.9326816,486,4,4
RUN5,970,47.4215637,487,3,3
RUN5,980,47.9104458,488,3,2
RUN5,990,48.3993279,489,3,2
RUN5,1000,48.88821,490,3,2
RUN5,1010,49.3770921,491,3,3
RUN5,1020,49.865974200000004,492,3,2
RUN5,1030,50.3548563,493,2,1
RUN5,1040,50.8437384,494,0,0
RUN5,1050,51.332620500000004,495,1,1
RUN5,1060,51.8215026,496,3,2
RUN5,1070,52.3103847,497,3,2
RUN5,1080,52.7992668,498,5,3
RUN5,1090,53.2881489,499,4,3
